,keluhan
9201,bersih selokan di depan rumah saya tiba sudah tidak pernah di lanjut lagi sejak bulan juli belum lebaran mulai orang yang biasa todak pernah datang lagi dan tinggal selokan ini buka dan batu batu biar di depan rumah saya selokan jadi kotor lagi karena biar buka orang orang buang sampah lagi dan kita mobil keluar masuk rumah jadi susah sekali di karena batu batu besar itu saya sudah kirim surat ke kepala dinas pematusan dan telepon kantor 2x tetapi tidak pernah ada ketindaklanjuttan mohon lanjut kerja untuk sejahtera sama terima kasih
9202,
9203,saya istri dari orang kerja satgas pu bmp sby rayon genteng suami saya sudah kerja di pu kurang lebih 6 tahun tetapi saya rasa ada ganjal akhir2 di kerja sebut karna bayar gaji tidak tepat tanggal selalu maju mundur lembur pada hari raya di pu gubeng bayar 150 rb tapi di pu genteng hanya 75 rb thr pun tidak pernh dapat sedang rayon gubeng dapat walau hanya 500 rb bulan ini tepat rayon gubeng sudah terima gaji per tgl 3 sept 2016 tapi rayon genteng atm masih rp 0 mohon bijak perintah untuk tindak lanjut hal ini terimakasih
9204,
9205,taman di jl merr di sekitar superindo pakai untuk taruh gali tanah
9206,
9207,hari ini saya buka buka website dispendukcapil surabaya go id dari 2 anak saya salah satu anak saya nik nya tidak daftar nyata data ada di monitoring data luar menteri dalam negeri kenapa data anak saya masuk kesana tolong jelas terima kasih
9208,
9209,yth dinas bersih dan taman saya yg alamat jln pasar kembang 124 ingin tanya kenapa kerja bersih pindah dgn sapu sampah yg buang org tidak tanggung jawab pinggir jalan ke depan warung saya 3-9-2017 tugas 2 org jam 9 pagi dan salah saya untuk tengkar dgn saya saya byar iur bersih rp 6000 - tugas bersih rt rw dan tidak pernah buang sampah sembarang kenapa tugas dinas bersih bukan ambil sampah di tepi jalan malah minggir sampah ke sudut pintu warung saya terimakasih
9210,
9211,jl km buntar wilayah warga rt 6 rw 1 manuk wetan camat tandes pju kurang ada cuman 1 tapi itu pun juga padam cukup lama wilayah sebut sangat gelap akses ke rt 6 rw 1 dan panjang jalan sebut kurang lebih 100m banyak jadi yg tdk kita ingin pada posisi gelap tempat gerombolan2 orang yang ujung ganggu tertib umum
9212,
9213,tolong ada bina dan sosialisasi sian kepada warga dibsekitar sungai tambang boyo masih banyak warga buang sampah ke sungai sehingga potensi banjir dan timbuk bau yang ganggu
9214,saya sudah punya e-ktp surabaya wilayah kec wonokromo permasalahanya pada e-ktp saya sebut ada keliru pada tempat lahir mesti cilacap tulis surabaya apakah e-ktp saya bisa baik sesuai dengan data benar syarat apa yang hrs sy lengakapi untuk benah e-ktp tsb trim s
9215,kepada yth ibu wali kota surabaya adu kami yang ke 2 di blok ini saya mau sampai masalah air pdam di tempat kami sudah 3 bulan tidak alir bila kami hubung kantor pdam jawab hanya itu2 saja nanti saya konfirmasi ke bagi atas utuk sekarang minta tank dari pdam susah untuk beli 1 tank air harga 150 rb tentu sangat berat bagi warga sini keluh kami di pdam belum ada tanggap dari pihak servis juga belum ada tinjau ke sini kami warga rasa bangga dgn pimpin ibu walikota surabaya dgn kerja juga visi dan misi tetapi air pdam tempat kami belum alir masih butuh perhataian yang sangat serius atas perhatianya saya sampai banyak banyak terimakasih
9216,
9217,pdam apa kl hr sabtu sama minggu air mu di banyu urip jaya ikut libur alias g ngucuuuuur karep e aopo iki
9218,
9219,saya buka toko online kecil2an dengan sudah buat izin domisili usaha lurah siup tdp beberapa hari yang lalu di datang satpol pp camat 4 orang tanya izin usaha semua sudah saya tunjuk kemudian mereka minta izin domisili camat dan ho yang tentuny saya tidak milik turut mereka izin domisili yang laku adalah dari camat sudah debat panjang lebar mereka kata tidak perlu buat cukup bayar mereka jumlah uang tiap tahun kemudian saya janji akan temu mereka di kantor camat beberapa hari lagi mohon bantu apakah yang harus saya buat agar usaha saya tidak temu kendala seperti pungli dsb nya mohon cepat saya harus kontak ke siapa
9220,gara kandang ayam atas kali jadi banyak sampah yg sangkut alir kali dan terkadang bau tidak sengat dari kandang ayam sebut
9221,pju yg mati di wilayah jl sikat 3 no 1 rw1 manuk wetan sdh tindak lanjut dan sdh nyala kembali terima kasih tapi selisih 2 hari pju yg lain 1 jalur wilayah yg sama mati dan mati lebih dari 2 minggu ini
9222,
9223,selamat malam kami mohon bantu pasang pju di wilayah rw 03 lurah wonokusumo kec mampir krn tiap malam di manfaat pasang pacar kami khawatir dterjadi hal2 yg tidk ingin ingat sering jadi kriminalitas terimah kasih
9224,
9225,pernah beli tanah th 1973 di bulak banteng tok d no 562 dari ali sariban kepada indung sugiri luas 0 176 ha 1 760 m2 untuk saya sendiri 14x21 m2 data yang saya milik akte jual beli no 9 p 1973 dan kwitansi mohon jelas sekarang letak mana dan bagaimana
9226,nama saya yogi andriant inzaghi dari camat karang pilangsaya sudah laku rekam e-ktp 2 kali tapi data saya tetap saja tidak masuk dan saya harus laku rekam e-ktp untuk yang ke 3 kali
9227,ass wr wb ibu risma yth saya mau wadul dan mohon bantu saya orang tua wali murid di sekolah man sby madrasah aliyah negeri pada tgl 25 8 saya dapat pemberitahuan dari komite sekolah man bahwa mulai bln juli 2016 siswa man di tetap bayar infaq syahriyah kpd komite man besar 100rb kk sby 152rb kk luar sby telah saya konfirmasi ke ketua komite nyata bahwa uang tsb u k bayar spp dg alas sekolah man sby sdh tidak dapat subsidi bos dari perintah saya sudah tanya ke diknas dan depag nyata man sby masih dapat bantu tsb yang saya tanya apakah perintah megijinkan pihak sekolah komite mungut biaya tsb dg alas u k giat operasional sekolah sedang ibu risma program sekolah gratis u k sekolah negeri di surabaya mohon bantu dan tindak terima kasih wassalam wr wb
9228,
9229,mohon arah anak saya cecilya celesta suhonggo jambret di manyar kertoarjo kira 2 th lalu semua surat kartu penting bawa saat ini semua surat kartu sudah urus kembali dengan sukses kecuali e-ktp nya dia sudah 2 kali laku rekam data di kantor camat gubeng dan ulang di itc sampai saat ini hanya janji terus oleh tugas camat ketika bas kali coba tanya langsung ke kantor camat gubeng mohon tunjuk bantu
9230,dear teamalhamdulilah kami sudah selesai laku cetak ulang e-ktp kami di camat wonocolo turut staf di camat kami harus tunggu lama 3 bln dan cetak harus di jakarta apakah benar untuk cetak ulang e-ktp harus tunggu 3 bln dan apakah di surabaya tidak bisa laku cetak ulang e-ktp benar berapa lama sop untuk cetak e-ktp
9231,kepada tim media center minta tolong untuk sampai saran kait jl raya mulyosari yang makin hari makin macet dan padat karena banyak kembang apartemen juga toko harap ada akses baru untuk warga surabaya timur lalu jl mulyosari prima utara tuju jl mulyosari prima timur dan keluar di jl kalisari damen status jalan mulyosari prima utara - timur - kalisari damen - milik pemkot surabaya konfirmasi developer rumah - sudah ada jalan aspal tetapi tidak bisa lewat karena ada tembok batas - sedikit tempat butuh tertib karena properti warga tutup jalandemikian terima kasih
9232,
9233,mau tanya tentang program jamin sehat yang saya oleh dari pusat yakni kartu indonesia sehat kis tanggal 25 nopember 2015 saya aju mohon undur diri bagai serta kis dengan nomor serta 0000787977718 karena jamin sehat saya akan tanggung oleh usaha tempat saya kerja sekarang waktu itu tugas dari dinas sosial surabaya sampai kepada saya bahwa masa nonaktif kartu kis saya estimasi 6 bulan hitung sejak tanggal mohon saya buat tanya saya apakah memang butuh waktu lama itu untuk nonaktif kartu kis saya sehingga sampai sekarang usaha saya sulit daftar saya bagai serta bpjs ketenagakerjaan karena status kartu kis saya yang ada di dinas sosial masih aktif mohon untuk tindak lanjut terima kasih
9234,
9235,6 hari yang lalu saya sampai keluh ke aplikasi ini tapi sampai sekarang tidak ada solusi nya
9236,assalamu alaikum mohon cerah 1 saya istri belum rekam cetak e-ktp syarat apa saja yg hrs siap urus dmn ket 1 ktp saya hidup konvensional ktp istri sudah mati 3th 2 lurah margorejo kec wonocolo2 saya mau urus akte lahir anak saya telat 5th syarat apa saja yg hrs siap urus dmn demikian tanya saya mohon jawab dg jelas maklum saya orang awam dg mekanisme prosedur di layan publik
9237,selamat malam saya mau lapor untuk jalan di dpan makam mbah ratu camat krembangan sampai perak jalan masih banyak sekali lubang akibat proyek kabel pipa air dan gelombang selain itu bekas tembel sebut banyak yg cekung dalam jadi kes seperti lubang karena masalah ini sering jadi celaka ringan maupun sedang di panjang jalan yang saya sebut tadi jadi mohon untuk tindak lanjut agar tidak lagi jadi celaka
9238,
9239,yth bu risma saya warga ton sidomulyo3a no 2 rasa rugi akibat proyek gali got yang ada pemkot surabaya saya sudah lapor kelurshan pu tapi belum ada tindak lanjut yang nyata pagar rumah saya roboh saya minta pagar saya kembali posisi normal pagar saya tidak akan rusak jika tidak ada orang datang laku kerja dengan cerobohmohon ditindaklanjutin karena jika pagar roboh rumah saya tidak aman saya minta adil bu terima kasih
9240,selamat siang ibu risma saya mau sampai luah kami hadap proyek lebar sungai yg ada di tempat kami halaman rumah kami hancur karna d pakai lewat material proyek dan sampai hari ini belum ada tindak atau itikad baik untuk baik padahal kami bantu mudah untuk lancar proyek bahkan pagar batas sungai di roboh dan kami kalah untuk bangun pagar kami kembali dan kami beri akses halaman rumah kami untuk lancar kerja proyek untuk itu mohon di perhati keluh kami ini terima kasih hormat saya bima
9241,
9242,yth ibu risma mohon informasi laksana lebar jalan sudah sampai sekolah islam khadijah a-yani saya mohon penjelesannya kena lanjut lebar jalan dari sekolah islam khadijah tsb tuju ke arah mana lagi dan berapa meter dari batas pagar jalan yang ada di wonokromo pasar lama kapan pelaksanannya
9243,
9244,e-ktp saya sejak rekam data di unit layan padu cabang royal plaza tanggal 06 juli 2015 hingga sekarang belum jadi saya sudah datang ke camat bubut untuk tanya jawab suruh tunggu 6bln - 1th tetapi sekarang sudah 1th lebih belum jadi mohon bantu karena e-ktp ini sangat saya butuh untuk urus sim dan kuliah terimakasih saya tunggu kabar baik
9245,
9246,saya mohon bantu karena rt saya rt 02 rw 07 lurah ketabang camat genteng tidak mau asih tanda tangan untuk program renovasi rumah mohon bantu karena saya sangat butuh nya terima kasih
9247,kepada team kependudukansaya sudah pernah rekam e-ktp dan pernah dapat e-ktp tetapi waktu saya pindah kk masih dalam kota surabaya beda camat e-ktp saya di tarik lalu di ganti dengan ktp non elektronik ktp laminating lalu pada saat ini saya ingin dapat e-ktp saya kembali tanya saya 1 apakah saya harus rekam ulang e-ktp saya 2 bagaimana proses dapat e-ktp saya yang baru 3 apakah orang yang sudah pernah mere e-ktp dan hanya ingin laku print ulang e-ktp di batas sampai 30 september 2016 tambah saya sudah kali ke camat tempat saya tinggal di camat wonocolo hasil minat nya membludak dan ruang nya sangat sempit hingga tidak mampu tampung masyarakat dengan ini ilah masyarakat mudah untuk urus dengan tempat dan ada yang nyaman karena beberapa minat bawa bayi yang tidak bisa di tinggal di rumah dan mohon waktu untuk urus e-ktp ini di panjang sampai tahun depan sehingga masyarakan tidak jubel di tiap camat
9248,bu risma saya chaisun nawawia warga jln simo gunung kramat timur gg 9 54 putat jaya sawah sdh 3 thn ini e-ktp saya tidak kunjung jd sdh prnh foto 2 x dl d sruh nunggu pemberitahuan lalu rt tempat tp ndak ada juga hny d beri bukti kertas hvs sbg pngganti ktp yg tdk guna krn bny pihak yg tdak mngakui bukti trsbut lalu saya ke kec lg lg2 d janji bs ambil tgl 30 agustus tp blm jd jg dgn alsn blangko hbs lalu d janji lg akn d hub ini gmn bu ada jamin ta kmi d hubu suami saya jg bgtu nnt klo km ndak d hubu gmn capek bu mbolak mbalik terus g ada kpastian tolong bu
9249,
9250,untuk ibu tri risma saya warga surabaya mau tanya tentang info atau syarat jadi tenaga outsoursing satpol pp atau linmas atau tenaga dinas lain mohon jelas terima kasih
9251,bu risma saya mau tanya tentang buat surat terang ahli waris ayah saya barusan tinggal lalu saya urus surat ahli waris tapi p lurah bilang ke saya di kena biaya ke lurah 300 dan camat 250 saya berat karena saya baru kena musibah
9252,bu risma sumbang saran saya lihat banyak bangun trotoar buat pejal kaki di hr muhamad akan tetapi sayang kalau tdk tertib krn ubah fungsi sbg warung sore parkir mobil jadi cara fungsi sdh lepas dr proyeksi ibu utk pejal kaki traamkasih
9253,mohon maaf belum bu wali di wonosari wetan 1 nusa air pdam nya itu mati jangka waktux variasi ada yg 3 bln smpai 1 thn tiap warga di situ sdh bnyak yg lapor tapi tdk ada tangan dari pihak pdam saya mohon bantu dari bu wali agar supaya air pdam di kampung saya bisa alir lagi
9254,
9255,saya mau lapor bahwa pipa air pdam bocor di daerah simo gunung barat iii a ini akibat salur air yang masuk ke kampung sangat kecil mohon baik soal sudah 1 bulan lebih kami lapor ke humas pdam tapi tidak ada tindak terima kasih
9256,
9257,yth walikota dan kasatpol pp surabaya pkl di jl ngaglik sudah bersih kapan gilir jl kapasari dan jl gembong tebas padahaljl kapasari lebih ramai dan lebih sempit daripada jl ngaglik tambah lagi masih 2 arah di jl kapasaridan jl gembong tebas banyak pasang papan umum larang jual situ tapi sepertinyatidak gubris lalu apa guna papan umum sebut terima kasih
9258,
9259,sampah saya biar tukang sampah sering tidak ngambil
9260,macet rutin di mayjend sungkono depan ciputra world kapan selesai proyek lampu merah yang di depan mall ciputra world proyek mangkrak pecat saja yg tidak becus proyek bisa beres 1 bulan tp tunda tahun
9261,dengan hormat hubung dengan lambat urus kartu keluarga kk yang alami oleh suami saya sama ini saya sampai kronologis bagai ikut -bahwa saya adalah warga surabaya daftar dg nik 3578026803870002-bahwa saya kerja sbg pns pada jaksa ri sejak tahun 2008-2014 di jaksa negeri sengkang sulsel dan 2014-sekarang di jaksa negeri tara di kaltara-bahwa saya meni dg suami pada tgl 05 april 2012 di surabaya-bahwa suami saya nama abubakar gazaly se daftar bagai warga kabupaten pangkajene pulau sulsel dg nik 7310050107770019-bahwa karena sibuk dan jarak tempat tugas kami yg jauh suami saya baru milik sempat utk daftar masuk sbg warga surabaya pada tahun 2016-bahwa telah urus kk selesai suami laku rekam data utk ktp namun karena e ktp tak kunjung ada kami inisiatif tanya pada dispendukcapil nyata ada masalah double data dan saran utk ulang proses agar data diperbaiki-bahwa pada tgl 25 juli 2016 suami kembali ke dispendukcapil bawa data utk ubah kk dan jelas bahwa kk akan selesai dalam jangka waktu 7-10 hari kerja dan akan langsung kirim ke alamat oleh kantor pos -bahwa sekitar 1 minggu yg lalu krn kk tdk kunjung datang suami inisiatif tanya ke kantor pos jemursari namun turut pihak kantor pos telah cek pada data kantor pos kk sebut belum ada dari dispendukcapil-bahwa telah kami laku kece pada web dispendukcapil data tsb sdh daftar d database dispendukcapil gambar screenshoot lampir -bahwa ingat e ktp sedang galak kembali kami mohon agar apabila kk maksud sudah jadi agar segera sampai kpd kami agar dpt segera guna utk urus e ktp-bahwa selain itu utk penting yg lebih jauh lagi yaitu utk urus akta lahir anak anak kami demikian kami sampai agar dapat jadi atensi bagi walikota surabaya kepala dinas duduk dan catat sipil surabaya dan jajar
